task_id,original_task_id,prompt_rank,prompt_id,condition,seed_idx,seed,cfg_scale,duration_seconds,corrected_full_text,corrected_text_sha256,output_path,analysis_role,invalid_predecessor_path,seed_policy
w2fact_00_2_10_positive_v2,w2fact_00_2_10,0,held_out_0238,positive_text,10,2034000010,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s10_2034000010.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s10_2034000010.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_11_positive_v2,w2fact_00_2_11,0,held_out_0238,positive_text,11,2034000011,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s11_2034000011.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s11_2034000011.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_12_positive_v2,w2fact_00_2_12,0,held_out_0238,positive_text,12,2034000012,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s12_2034000012.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s12_2034000012.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_13_positive_v2,w2fact_00_2_13,0,held_out_0238,positive_text,13,2034000013,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s13_2034000013.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s13_2034000013.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_14_positive_v2,w2fact_00_2_14,0,held_out_0238,positive_text,14,2034000014,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s14_2034000014.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s14_2034000014.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_2_15_positive_v2,w2fact_00_2_15,0,held_out_0238,positive_text,15,2034000015,5.0,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0238/positive_text_v2_s15_2034000015.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0238/positive_text_s15_2034000015.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_00_positive_v2,w2fact_00_5_00,0,held_out_0238,positive_sampler,0,2034000000,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s00_2034000000.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s00_2034000000.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_01_positive_v2,w2fact_00_5_01,0,held_out_0238,positive_sampler,1,2034000001,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s01_2034000001.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s01_2034000001.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_02_positive_v2,w2fact_00_5_02,0,held_out_0238,positive_sampler,2,2034000002,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s02_2034000002.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s02_2034000002.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_03_positive_v2,w2fact_00_5_03,0,held_out_0238,positive_sampler,3,2034000003,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s03_2034000003.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s03_2034000003.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_04_positive_v2,w2fact_00_5_04,0,held_out_0238,positive_sampler,4,2034000004,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s04_2034000004.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s04_2034000004.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_05_positive_v2,w2fact_00_5_05,0,held_out_0238,positive_sampler,5,2034000005,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s05_2034000005.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s05_2034000005.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_06_positive_v2,w2fact_00_5_06,0,held_out_0238,positive_sampler,6,2034000006,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s06_2034000006.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s06_2034000006.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_07_positive_v2,w2fact_00_5_07,0,held_out_0238,positive_sampler,7,2034000007,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s07_2034000007.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s07_2034000007.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_08_positive_v2,w2fact_00_5_08,0,held_out_0238,positive_sampler,8,2034000008,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s08_2034000008.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s08_2034000008.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_09_positive_v2,w2fact_00_5_09,0,held_out_0238,positive_sampler,9,2034000009,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s09_2034000009.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s09_2034000009.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_10_positive_v2,w2fact_00_5_10,0,held_out_0238,positive_sampler,10,2034000010,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s10_2034000010.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s10_2034000010.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_11_positive_v2,w2fact_00_5_11,0,held_out_0238,positive_sampler,11,2034000011,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s11_2034000011.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s11_2034000011.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_12_positive_v2,w2fact_00_5_12,0,held_out_0238,positive_sampler,12,2034000012,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s12_2034000012.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s12_2034000012.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_13_positive_v2,w2fact_00_5_13,0,held_out_0238,positive_sampler,13,2034000013,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s13_2034000013.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s13_2034000013.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_14_positive_v2,w2fact_00_5_14,0,held_out_0238,positive_sampler,14,2034000014,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s14_2034000014.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s14_2034000014.flac,exact_CRN_replacement_not_independent_observation
w2fact_00_5_15_positive_v2,w2fact_00_5_15,0,held_out_0238,positive_sampler,15,2034000015,7.5,15.0,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",88097aed639bd945231dd6dcc379c85b2bbcd09c8f101629a21fd66bafa1ccc1,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_sampler/held_out_0238/positive_sampler_v2_s15_2034000015.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s15_2034000015.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_00_positive_v2,w2fact_01_2_00,1,held_out_0094,positive_text,0,2034001000,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s00_2034001000.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s00_2034001000.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_01_positive_v2,w2fact_01_2_01,1,held_out_0094,positive_text,1,2034001001,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s01_2034001001.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s01_2034001001.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_02_positive_v2,w2fact_01_2_02,1,held_out_0094,positive_text,2,2034001002,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s02_2034001002.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s02_2034001002.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_03_positive_v2,w2fact_01_2_03,1,held_out_0094,positive_text,3,2034001003,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s03_2034001003.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s03_2034001003.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_04_positive_v2,w2fact_01_2_04,1,held_out_0094,positive_text,4,2034001004,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s04_2034001004.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s04_2034001004.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_05_positive_v2,w2fact_01_2_05,1,held_out_0094,positive_text,5,2034001005,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s05_2034001005.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s05_2034001005.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_06_positive_v2,w2fact_01_2_06,1,held_out_0094,positive_text,6,2034001006,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s06_2034001006.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s06_2034001006.flac,exact_CRN_replacement_not_independent_observation
w2fact_01_2_07_positive_v2,w2fact_01_2_07,1,held_out_0094,positive_text,7,2034001007,5.0,15.0,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental. instrumental arrangement led by synthesizer, drums, bass, and melodic instruments.",6afbae25a446f7366e98f55ad878400df664ffcf6877b3ea4f7b191ffd43f225,paper_prep/w2_execution_20260712/factorial/audio_positive_v2/positive_text/held_out_0094/positive_text_v2_s07_2034001007.flac,PRIMARY_CORRECTED_POSITIVE_ONLY_REPLACEMENT,paper_prep/w2_execution_20260712/factorial/audio/positive_text/held_out_0094/positive_text_s07_2034001007.flac,exact_CRN_replacement_not_independent_observation
