rating_id,quality_preference,constraint_preference,overall_preference,confidence_1_to_5,notes,prompt_text,request_mode,request_revealed,quality_answer_sequence,reveal_sequence,constraint_answer_sequence,overall_answer_sequence,rating_source,bundle_rating_id,exported_at
bprime_0084_52bf6c6de267,tie,tie,tie,5,,"A front-room folk song double-time at 168 bpm, featuring two-part harmony over strummed guitar, in a simple two-section form, with a wordless harmony bridge, in English.",vocal,True,41,42,43,44,pi:Richard,r_9268a6841cd959d30b49,2026-07-12T17:09:36.829Z
bprime_0099_8c52b6224182,b,b,b,4,,Write me a introspective hip-hop cut — mid-tempo.,vocal,True,45,46,47,48,pi:Richard,r_bd453e55d82d90fe5b25,2026-07-12T17:09:36.829Z
bprime_0104_326d135bd3e2,b,a,a,3,,"A stoner-fuzz metal number at mid-tempo around 105 bpm, featuring dropped-tuning guitars, double-kick drums, growled vocals, in 32-bar AABA form, with an instrumental coda built on the opening motif, in English.",vocal,True,49,50,51,52,pi:Richard,r_948a9b024a4595ffc8a6,2026-07-12T17:09:36.829Z
bprime_0092_ffd47859abde,a,a,a,4,,"A tender folk tune upbeat around 130 bpm, featuring acoustic guitar, mandolin, upright bass, brushed snare, in a simple two-section form, with three verses and a recurring refrain, in English.",vocal,True,53,54,55,56,pi:Richard,r_6f697034908d674242b5,2026-07-12T17:09:36.829Z
bprime_0102_4063104537f0,tie,tie,tie,3,,"A wide-sky folk song very fast, 175+ bpm. Lyrics in English.",vocal,True,57,58,59,60,pi:Richard,r_d2be888c0e5e59659cba,2026-07-12T17:09:36.829Z
bprime_0089_40f2deefe9a2,tie,tie,tie,4,,"A wistful pop track at a brisk 145 bpm, featuring layered choir-like vocal stacks over plucked guitar. Lyrics in English.",vocal,True,61,62,63,64,pi:Richard,r_96ea6b2cca19326ce87a,2026-07-12T17:09:36.829Z
bprime_0101_26bb56a77985,tie,tie,tie,5,,Wistful pop mood. Upbeat.,vocal,True,65,66,67,68,pi:Richard,r_6d906a0d3772218c5dde,2026-07-12T17:09:36.829Z
bprime_0095_c82095a4bf79,b,b,b,1,,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental — no vocals.",instrumental,True,69,70,71,72,pi:Richard,r_78518b4adaba181fc682,2026-07-12T17:09:36.829Z
bprime_0086_e4967a6b5aed,a,a,a,3,,"A stomping rock tune lingering, featuring two interlocking guitars, one clean one driven, with a melodic bassline, in a simple two-section form, with an outro that drops to just bass and voice, in English.",vocal,True,73,74,75,76,pi:Richard,r_e3d5386531f865662da4,2026-07-12T17:09:36.829Z
bprime_0100_516963a99205,b,b,b,5,,"Generate a stately, classical-style piece steady. Instrumental — no vocals.",instrumental,True,77,78,79,80,pi:Richard,r_2306d68f4d37f6460d83,2026-07-12T17:09:36.829Z
bprime_0096_cb0ffc596470,b,b,b,2,,"A leftfield electronic × folk fusion (after-dinner touches) tune very fast, 175+ bpm, featuring syncopated drum machine, side-chained pad, glassy lead, with a multi-section arc, with two intertwined synth lines panned wide, (purely instrumental; treat lyrics field as empty).",instrumental,True,81,82,83,84,pi:Richard,r_06d181596b6572497d2d,2026-07-12T17:09:36.829Z
bprime_0083_77ba82148ecc,tie,tie,tie,3,,"Make me a short classical piece — luminous feel, really driving, 175+ bpm. Instrumental — no vocals.",instrumental,True,85,86,87,88,pi:Richard,r_720ba612e183188770f7,2026-07-12T17:09:36.829Z
bprime_0085_869a5754d594,a,a,a,2,,A blackened-tremolo metal piece double-time at 168 bpm. Lyrics in English.,vocal,True,89,90,91,92,pi:Richard,r_d2feb845781d4f99d424,2026-07-12T17:09:36.829Z
bprime_0097_1dbd1886de4b,b,b,b,1,,"A sun-soaked pop song around 110 bpm, featuring syncopated synth bass and reverb-washed snare. Lyrics in English.",vocal,True,93,94,95,96,pi:Richard,r_4b8467c1e5acdcb40b47,2026-07-12T17:09:36.829Z
