rating_id,quality_preference,constraint_preference,overall_preference,confidence_1_to_5,notes,prompt_text,request_mode,request_revealed,quality_answer_sequence,reveal_sequence,constraint_answer_sequence,overall_answer_sequence,rating_source,bundle_rating_id,exported_at
bprime_0048_8dfa664b337d,tie,tie,tie,3,,"A playful classical piece at a brisk 145 bpm, featuring woodwind ensemble: flute, clarinet, bassoon. (fully instrumental, no vocals).",instrumental,True,89,90,91,92,pi:Richard,r_15f2f053c1ccd8489d5f,2026-07-12T16:36:43.026Z
bprime_0010_c890b81e9b2b,tie,tie,tie,3,,"A front-room folk song double-time at 168 bpm, featuring two-part harmony over strummed guitar, in a simple two-section form, with a wordless harmony bridge, in English.",vocal,True,93,94,95,96,pi:Richard,r_c20f6d65734acd00912d,2026-07-12T16:36:43.026Z
bprime_0011_175c938c45ae,a,tie,tie,3,,"Make me a short classical piece — luminous feel, really driving, 175+ bpm. Instrumental — no vocals.",instrumental,True,97,98,99,100,pi:Richard,r_72d1d939e407f81fb147,2026-07-12T16:36:43.026Z
bprime_0047_89d5a0f7ff78,b,b,b,4,,"I'm in the mood for pastoral classical — slow, if you can. Instrumental — no vocals.",instrumental,True,101,102,103,104,pi:Richard,r_eac068fcfe25fe40fd8e,2026-07-12T16:36:43.026Z
bprime_0029_6792e4caa76a,a,a,a,1,,A smoky hip_hop track driving at 140 bpm. Lyrics in English.,vocal,True,105,106,107,108,pi:Richard,r_5ad1cddc8153b0138027,2026-07-12T16:36:43.026Z
bprime_0061_fac0effe45bd,b,b,b,5,,A moody hip_hop cut a slow. Lyrics in English.,vocal,True,109,110,111,112,pi:Richard,r_6fc49a435dd64d070358,2026-07-12T16:36:43.026Z
bprime_0002_abce08b87655,tie,tie,tie,3,,"A leftfield electronic × folk fusion (Appalachian touches) number lingering, featuring syncopated drum machine, side-chained pad, glassy lead, in 32-bar AABA form, with a 16-bar build into a release, (no vocals; the lead is the instrument named below).",instrumental,True,113,114,115,116,pi:Richard,r_450fc29b425e16e4cc9e,2026-07-12T16:36:43.026Z
bprime_0065_304528335445,b,b,b,2,,A minimalist hip_hop composition blistering 180 bpm. Lyrics in English.,vocal,True,117,118,119,120,pi:Richard,r_157d8a9b69b0dcd1289a,2026-07-12T16:36:43.026Z
bprime_0064_9cec2460f409,b,b,b,5,,A leftfield electronic tune at mid-tempo around 105 bpm. Lyrics in Chinese (Mandarin).,vocal,True,121,122,123,124,pi:Richard,r_b240464648c0f4ddd5f5,2026-07-12T16:36:43.026Z
bprime_0032_d209eaf55284,b,b,b,4,,"A tender folk tune upbeat around 130 bpm, featuring acoustic guitar, mandolin, upright bass, brushed snare, in a simple two-section form, with three verses and a recurring refrain, in English.",vocal,True,125,126,127,128,pi:Richard,r_4b1bf27a3b5a350f5ef1,2026-07-12T16:36:43.026Z
bprime_0052_eb6f1327a8f4,tie,tie,tie,4,,I want a bludgeoning metal thing upbeat. Instrumental — no vocals.,instrumental,True,129,130,131,132,pi:Richard,r_ab1680dd742f4f376a5d,2026-07-12T16:36:43.026Z
bprime_0078_ebfa46a38b79,a,a,a,1,,"A djent-tinged metal song at a brisk 145 bpm, featuring atmospheric clean section opening into a heavy chorus. Lyrics in English.",vocal,True,133,134,135,136,pi:Richard,r_f8f30c395036d2e89399,2026-07-12T16:36:43.026Z
bprime_0012_bb29e99fe51b,tie,tie,tie,3,,Wistful pop mood. Upbeat.,vocal,True,137,138,139,140,pi:Richard,r_0cb0f3c25e5d44f653d6,2026-07-12T16:36:43.026Z
bprime_0059_c72169bb90a4,tie,tie,tie,3,,"Something melancholic: a classical piece really driving, 175+ bpm. Instrumental — no vocals.",instrumental,True,141,142,143,144,pi:Richard,r_a0469a41a734f600c2a8,2026-07-12T16:36:43.026Z
bprime_0033_b2fda2904978,a,a,a,4,,"Generate a stately, classical-style piece steady. Instrumental — no vocals.",instrumental,True,145,146,147,148,pi:Richard,r_870d2f3905b1ece5ec87,2026-07-12T16:36:43.026Z
bprime_0074_107c0e2513cd,b,b,b,5,,"Generate a stately, classical-style piece steady. Instrumental — no vocals.",instrumental,True,149,150,151,152,pi:Richard,r_a213fd548cdd37f3b0c2,2026-07-12T16:36:43.026Z
bprime_0021_f114192c4edb,b,b,b,5,,Ballad-tempo jazz mood. Ballad-paced. Instrumental — no vocals.,instrumental,True,153,154,155,156,pi:Richard,r_cfc098d5b881e47572bb,2026-07-12T16:36:43.026Z
bprime_0017_ccec7f03bbc8,tie,tie,tie,4,,A bruised rock track at a gentle tempo around 75 bpm. Lyrics in English.,vocal,True,157,158,159,160,pi:Richard,r_87585b5ca172a928e3a8,2026-07-12T16:36:43.026Z
bprime_0045_d9210ea5dafe,tie,tie,tie,3,,"A wistful pop piece lingering, featuring glassy keys and a subtle clap pattern. Lyrics in English.",vocal,True,161,162,163,164,pi:Richard,r_3058593a6c70ba117428,2026-07-12T16:36:43.026Z
bprime_0066_1001d78cdf10,tie,tie,tie,3,,"A smoky jazz song driving at 140 bpm, featuring guitar trio with hollow-body tone and brushed snare. (fully instrumental, no vocals).",instrumental,True,165,166,167,168,pi:Richard,r_1288fa90f805adc53d2b,2026-07-12T16:36:43.026Z
bprime_0023_665b5c28a789,b,tie,b,4,,"A smoky jazz piece energetic around 135 bpm. (fully instrumental, no vocals).",instrumental,True,169,170,171,172,pi:Richard,r_1ecf15557a9130423b34,2026-07-12T16:36:43.026Z
bprime_0022_fb83421cd0ab,tie,tie,tie,3,,"A lonesome folk tune with a steady beat near 100 bpm, featuring banjo and fiddle, sometimes a bowed bass. (fully instrumental, no vocals).",instrumental,True,173,174,175,176,pi:Richard,r_cb593be786402a31adee,2026-07-12T16:36:43.026Z
bprime_0015_d2e03312b1ed,b,b,b,5,,Progressive metal mood. Around 130 bpm.,vocal,True,177,178,179,180,pi:Richard,r_9cadf0c39fda46ca7b45,2026-07-12T16:36:43.026Z
bprime_0076_93bf5c834d41,a,a,a,4,,"A post-metal metal track lingering, featuring down-tuned bass walking under a half-time groove. Lyrics in English.",vocal,True,181,182,183,184,pi:Richard,r_61331e8cd9909523aad4,2026-07-12T16:36:43.026Z
bprime_0006_ec63ed142f06,a,a,a,4,,A synthwave-leaning electronic piece at a gentle tempo around 75 bpm. Lyrics in English.,vocal,True,185,186,187,188,pi:Richard,r_1fe9f0499386ee09204d,2026-07-12T16:36:43.026Z
bprime_0042_596bd045a00d,tie,tie,tie,3,,"A wistful pop track at a brisk 145 bpm, featuring layered choir-like vocal stacks over plucked guitar. Lyrics in English.",vocal,True,189,190,192,191,pi:Richard,r_18c0df05601647c7c44b,2026-07-12T16:36:43.026Z
bprime_0043_51ed2b7f679a,tie,tie,tie,4,,A blackened-tremolo metal piece double-time at 168 bpm. Lyrics in English.,vocal,True,193,194,195,196,pi:Richard,r_bfd1363c6e7fb8d07183,2026-07-12T16:36:43.026Z
bprime_0019_c3c7bcf0e2f6,tie,tie,tie,3,,"A wide-sky folk song very fast, 175+ bpm. Lyrics in English.",vocal,True,197,198,200,199,pi:Richard,r_1e22aa285a7807629e54,2026-07-12T16:36:43.026Z
bprime_0051_c574aa58fc15,tie,tie,tie,5,,"A leftfield electronic × folk fusion (after-dinner touches) tune very fast, 175+ bpm, featuring syncopated drum machine, side-chained pad, glassy lead, with a multi-section arc, with two intertwined synth lines panned wide, (purely instrumental; treat lyrics field as empty).",instrumental,True,201,202,203,204,pi:Richard,r_5571c7c7b44523637c19,2026-07-12T16:36:43.026Z
bprime_0067_61c4ab632453,tie,tie,tie,5,,A wry folk × hip-hop fusion (introspective touches) tune at mid-tempo around 105 bpm. Lyrics in English.,vocal,True,205,206,207,208,pi:Richard,r_b25eee7965cc234cb75a,2026-07-12T16:36:43.026Z
bprime_0070_35933a9f3c05,tie,tie,tie,2,,A harmonically restless classical composition lingering. (no vocals; the lead is the instrument named below).,instrumental,True,209,210,211,212,pi:Richard,r_8cba9eb089d0f735a20c,2026-07-12T16:36:43.026Z
bprime_0001_f82a1606adfa,b,b,b,2,,"A post-metal metal track lingering, featuring down-tuned bass walking under a half-time groove. Lyrics in English.",vocal,True,213,214,215,216,pi:Richard,r_a9f20ec0c15b2b0721be,2026-07-12T16:36:43.026Z
bprime_0028_32dc85efc572,b,b,b,3,,A warm analog electronic tune a slow. (purely instrumental; treat lyrics field as empty).,instrumental,True,217,218,219,220,pi:Richard,r_45478f193197929eff4e,2026-07-12T16:36:43.026Z
bprime_0071_f8de9de71a48,a,a,a,2,,A moody hip_hop cut a slow. Lyrics in English.,vocal,True,221,222,223,224,pi:Richard,r_278e01d4f6e7bbea842b,2026-07-12T16:36:43.026Z
bprime_0013_37cc933fa66b,b,b,b,3,,"A driving rock track lingering, featuring single-coil guitar tone, brushed snare, a soft Hammond pad. Lyrics in English.",vocal,True,225,226,227,228,pi:Richard,r_1ca27cda17fb87e24d39,2026-07-12T16:36:43.026Z
bprime_0031_f4520c325327,b,b,b,5,,A pastoral classical composition double-time at 168 bpm. (no vocals; the lead is the instrument named below).,instrumental,True,229,230,231,232,pi:Richard,r_12c7b74bd1e24a8486fd,2026-07-12T16:36:43.026Z
bprime_0069_a61aeaa619dd,a,a,a,3,,"A back-porch folk piece a slow, featuring pump organ, acoustic guitar, distant violin. Lyrics in English.",vocal,True,233,234,235,236,pi:Richard,r_587c0eac362fb416e8ef,2026-07-12T16:36:43.026Z
bprime_0016_00ce27d13797,tie,tie,tie,4,,"A wistful pop track at a brisk 145 bpm, featuring layered choir-like vocal stacks over plucked guitar. Lyrics in English.",vocal,True,237,238,239,240,pi:Richard,r_37920c12364e171c896c,2026-07-12T16:36:43.026Z
bprime_0030_976f0bcad2e5,tie,tie,a,2,,"A deep-house electronic tune with a steady beat near 100 bpm, featuring layered arpeggios with a quarter-note kick and reverb-washed snares. (purely instrumental; treat lyrics field as empty).",instrumental,True,241,242,243,244,pi:Richard,r_c387d55e41444235043e,2026-07-12T16:36:43.026Z
bprime_0003_241ee6227824,a,a,a,4,,"A stomping rock tune lingering, featuring two interlocking guitars, one clean one driven, with a melodic bassline, in a simple two-section form, with an outro that drops to just bass and voice, in English.",vocal,True,245,246,247,248,pi:Richard,r_4514f30fcb675c54bb75,2026-07-12T16:36:43.026Z
bprime_0072_df79f7a2a65a,tie,tie,tie,4,,Ballad-tempo jazz mood. Ballad-paced. Instrumental — no vocals.,instrumental,True,249,250,251,252,pi:Richard,r_9b08b2591c6a227624e2,2026-07-12T16:36:43.026Z
bprime_0079_5d36e7c1d3e0,b,b,b,4,,"A stoner-fuzz metal number at mid-tempo around 105 bpm, featuring dropped-tuning guitars, double-kick drums, growled vocals, in 32-bar AABA form, with an instrumental coda built on the opening motif, in English.",vocal,True,253,254,255,256,pi:Richard,r_68e48dde3cc672b3080d,2026-07-12T16:36:43.026Z
bprime_0077_5ecc13723d32,a,a,a,3,,"A post-metal metal track lingering, featuring atmospheric clean section opening into a heavy chorus. Lyrics in English.",vocal,True,257,258,259,260,pi:Richard,r_b7ca4c91c76750a14403,2026-07-12T16:36:43.026Z
bprime_0005_044855b58ce7,tie,tie,tie,4,,"A playful classical piece at a brisk 145 bpm, featuring woodwind ensemble: flute, clarinet, bassoon. (fully instrumental, no vocals).",instrumental,True,261,262,264,263,pi:Richard,r_e48eb7dc4f0e769820ff,2026-07-12T16:36:43.026Z
bprime_0056_50f5d6c203e5,tie,tie,tie,5,,Ballad-tempo jazz mood. Ballad-paced. Instrumental — no vocals.,instrumental,True,265,266,267,268,pi:Richard,r_4cd979e117380c3ee62b,2026-07-12T16:36:43.026Z
bprime_0044_ba20def96016,tie,tie,tie,5,,"A sparse and chamber-like classical composition very fast, 175+ bpm, featuring string quartet, with a melodic viola counter-line, in a simple two-section form, with a contrasting middle section in the relative minor, (fully instrumental, no vocals).",instrumental,True,269,270,271,272,pi:Richard,r_b483c11495245feb8c61,2026-07-12T16:36:43.026Z
bprime_0039_af84389c7446,b,b,b,3,,A shimmering pop cut lingering. Lyrics in English.,vocal,True,273,274,275,276,pi:Richard,r_87472f4858f69296d6e4,2026-07-12T16:36:43.026Z
bprime_0055_0cdf5568d4aa,tie,tie,b,1,,A shimmering pop song blistering 180 bpm. Lyrics in English.,vocal,True,277,278,279,280,pi:Richard,r_c07260a6228499fa695d,2026-07-12T16:36:43.026Z
bprime_0009_8a6079b2cb47,b,b,b,5,,"An introspective hip_hop song around 110 bpm, featuring minimal piano riff, low sub, distant strings, in verse-chorus form, with a 16-bar verse and an 8-bar hook, in English.",vocal,True,281,282,283,284,pi:Richard,r_cec98ad5276f6235ee09,2026-07-12T16:36:43.026Z
bprime_0004_10458c26dadb,b,b,b,5,,A synthwave-leaning electronic piece at a gentle tempo around 75 bpm. Lyrics in English.,vocal,True,285,286,287,288,pi:Richard,r_4df094ad71639b862b08,2026-07-12T16:36:43.026Z
bprime_0037_259ca29de629,tie,tie,tie,1,,A blackened-tremolo metal piece double-time at 168 bpm. Lyrics in English.,vocal,True,289,290,291,292,pi:Richard,r_d6cad9f63fe1a9fb7003,2026-07-12T16:36:43.026Z
bprime_0080_1b6389bd4dcd,tie,tie,tie,3,,"A lonesome folk × hip-hop fusion (summer-block-party touches) tune energetic around 135 bpm, featuring pump organ, acoustic guitar, distant violin, with a multi-section arc, with three verses and a recurring refrain, in English.",vocal,True,293,294,295,296,pi:Richard,r_479f8ea4480be4796da9,2026-07-12T16:36:43.026Z
bprime_0026_354c5d84fb17,b,b,b,2,,"I'm in the mood for pastoral classical — slow, if you can. Instrumental — no vocals.",instrumental,True,297,298,299,300,pi:Richard,r_652a6ccc27ff2190ecff,2026-07-12T16:36:43.026Z
bprime_0018_17aa4929a383,b,b,b,5,,"A stomping rock number at mid-tempo around 105 bpm, featuring two interlocking guitars, one clean one driven, with a melodic bassline. Lyrics in English.",vocal,True,301,302,303,304,pi:Richard,r_e7b6298a4da251a35ba5,2026-07-12T16:36:43.026Z
bprime_0041_387a34d0d66e,a,a,a,4,,Write me a introspective hip-hop cut — mid-tempo.,vocal,True,305,306,307,308,pi:Richard,r_0c6d8f0a3500c403f829,2026-07-12T16:36:43.026Z
bprime_0008_0459f0c2a734,a,a,a,4,,"An industrial-edged metal cut around 110 bpm, featuring polyrhythmic riff in 7/8, syncopated drums, layered guitars. Lyrics in English.",vocal,True,309,310,311,312,pi:Richard,r_14525d8793d837c3e3a5,2026-07-12T16:36:43.026Z
bprime_0007_518ec44c8042,a,a,a,3,,"A vintage soul-flip hip_hop tune double-time at 168 bpm, featuring wide trap snares with detuned synth bass. Lyrics in English.",vocal,True,313,314,315,316,pi:Richard,r_9351f2e72cd3ecb32453,2026-07-12T16:36:43.026Z
bprime_0035_d000a1547e65,b,b,b,3,,"A mid-90s alt-rock rock × electronic fusion (ambient-techno touches) song very fast, 175+ bpm, featuring two interlocking guitars, one clean one driven, with a melodic bassline. Lyrics in English.",vocal,True,317,318,319,320,pi:Richard,r_0fa8460a6e8fb721ca2d,2026-07-12T16:36:43.026Z
