rating_id,label_a_voice_presence,confidence_1_to_5,notes,rating_source,bundle_rating_id,judge_validation_status,judge_model_id,judge_gold_set_hash,judge_calibration_metrics,judge_raw_response_ledger,judge_raw_response_ledger_sha256,label_b_constraint
aprime_0019_c0a7a0cb8433,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0020_165d2ca6da9c,yes,5,,pi:Richard,r_f5269fc7c5453b46e6eb,,,,,,,
aprime_0021_ba5e95fbb64d,yes,5,,pi:Richard,r_611067905856609c0cc1,,,,,,,
aprime_0022_a4011c33ade1,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0023_c81f575954f2,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0024_dd924bba58c9,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0025_4725363a9ad7,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0026_8b6727c9c82b,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0027_aaed6b8011f2,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0028_e5d27ab04444,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0029_d2687aa42c80,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0030_61dd0835fc9a,yes,5,,pi:Richard,r_65c2bb15ee03d69139d8,,,,,,,
aprime_0031_0895148b4ba3,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0032_c09cba826e84,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0033_1fa2a7ff3d3b,yes,5,,pi:Richard,r_4eb560d99970013354e3,,,,,,,
aprime_0034_15bfc589591f,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0035_dd7fe5ad978b,yes,5,,pi:Richard,r_153d63daca51707ee343,,,,,,,
aprime_0036_afd53ecdab7b,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0037_7370940bf1a8,yes,5,,pi:Richard,r_0a9f4ec0f7c36692c734,,,,,,,
aprime_0038_e66cd95176ba,no,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0039_ddfd9f249d7d,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0040_24b0c8cc08b6,no,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0041_8cd0810a4873,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0042_81377c8748f8,yes,5,,pi:Richard,r_53981067e96321c6db7a,,,,,,,
aprime_0043_ebc25c0f11b3,yes,5,,pi:Richard,r_92020befdcb84c1570c7,,,,,,,
aprime_0044_e536def8ad8a,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0045_5a7b34ed6e73,yes,5,,pi:Richard,r_a21f545cc15d6e78be1c,,,,,,,
aprime_0046_15c864f16968,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
aprime_0047_67fe5110e092,yes,,,judge:Qwen3-Omni-30B-A3B-Instruct:validated:2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,,PASS,Qwen3-Omni-30B-A3B-Instruct,2b2008a63ff4a9e95c20384062baa510575c292bfa3809fc33abac128d380594,"{""abstention_rate"": 0.0, ""balanced_accuracy"": 0.9507049553608808, ""mcc"": 0.9461842088410681, ""sensitivity"": 0.9914210137502085, ""specificity"": 0.9099888969715532}",/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/t7_judge_gold_20260713/judge_completion/A_PRIME_ALL_JUDGE_RAW_RESPONSES.jsonl,7c7da235e3399ce9e4ec60b851575909140be66301616f183dfb1f3710c1e398,unsure
