clip_id,label_a_equivalent,true_label,provenance,source_bucket,rater,classification,media_class,clip_path,media_sha256,split
1bf508d52f,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0394_166a16fd29b6.wav,6813542e5a018ca9cf0d049877d049b70a8cad327175bfb668f40e85056a734b,reference_only
1d950f946a,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0210_a1d0917b9271.wav,166ddb24d974600483d9fc3898058760bd29cd0273827dbe6845f9c79e5e0f42,heldout
1e0e0bc592,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0357_e095ef7dbc7b.wav,6ff1e0bfb875983ed5a3e06b9bb8bcb5d3b9112955d594d6d988f1519f26f8d7,reference_only
20ba693c1f,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0049_e0aac6d99ffa.wav,9f46d6b4fb2154723f9f5042981959ffc2435e1743c6551f80fda2a4f7537e91,heldout
232468ea31,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0069_58b473a79c94.wav,5ab347451b2a4054130398bd7a7aef71491fab6cd3902a3845efe3d7cc266f76,heldout
23532447a5,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0648_b632fdc8b8b2.wav,be7a5428726cac549acce3835086c7495777b8c48220cc3f93ef97e43eeb8583,reference_only
2df83e6229,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0588_1e3858b0eca8.wav,5ee7314302f870a4cf757c5d4c3c7eb053cdb346faf40703b6b36d8c2f4d0144,reference_only
30999be08d,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0099_659447258733.wav,7468ba7524847c25ee93155f57abdeb8413fdbae58b81561763927958d4e0b2f,heldout
30bc8325b0,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0064_57bc5f2e1e77.wav,7b2f813e28efc2d0005eca40da3e50305724e00f015dc90025210b4e04635074,reference_only
34ee91d6a0,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0001_2856569ce627.wav,52f3ee7cf0eaca816a40d7a810facac9243d1035eaeb344b6321a1034dee5ebc,reference_only
3744abd84b,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0451_f2a3046bab38.wav,b832602393419aa8c57e2d674aaae5ab38d2a58004a34580429cc86e01e255f2,reference_only
38b86373e6,no,no,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0066_863db45703ed.wav,c6eaf88990b15af273c1fde0c7929d5e0e0e2823769eb86383f3722bb028f27b,heldout
3ac836c596,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0593_4efe81c7d888.wav,498440a854fc367c9c4aa460f0e4fc017b7c5d9d93e1edd217f82b9cb3d1492f,reference_only
3c349740ba,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0201_c50b8689821f.wav,3ab6e7e386b6ff4f6d6f1955806424028cea44e254dbf85bb9636ba07a4f32a8,heldout
3fb5cf1de0,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0403_40521083e3a1.wav,6c3c9c3951626d28221bdcedd48b09fc7d49afcb98427b4bda9028111614fc54,reference_only
462b0677d0,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0681_9793870cebeb.wav,9844d7fff79bef4dc63e43da97b1a3accd2b5c6d6fc4cebdcc9731cba5af3e01,reference_only
47bdd38200,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0255_7b8a6ae8b538.wav,e9c61e16e36037e7665005ce7c8f78e58f5316f6abce14b7ed616f3a11c35f01,reference_only
48d2e04417,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0473_088b54d5fec7.wav,975878005e47cf97eac53f5c4b0af6f5905433e7fe0316eaf30f0f34f303822e,reference_only
4e851ff3bd,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0092_0f4aaa6c5077.wav,dfd09d76815af12db86180fe748caac0b0a43784bc230bc798dc6ffb3c51f719,reference_only
4fd6775d22,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0490_55ab8e50a996.wav,4843a6abef2967049b864042f8cf3fb25c10786239bdd24eb46ed05b97869a1a,reference_only
50d73b401e,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0321_f0230ca0f72e.wav,1854db00fe67390a76a58f3b62658b972b26c399a07e0fd6061f8120b468a5e9,reference_only
51f074892f,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0033_1fa2a7ff3d3b.wav,d69c2cc41a843b1e6a08476b7ee7f6d3e6d8f70a2734b3d16517afea133167c9,heldout
520cd89371,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0402_d5d9911e4dba.wav,bf68f63054e6b496eb275978f5781de5f080a15fc0580edec9dab06766d7ef04,reference_only
54d9222ca7,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0101_a0d29cf558ff.wav,4c458237d63c6c918a20657006ede8c07fccdd72d75172306052ebfa7096dd64,reference_only
54d9927de3,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0627_a8555cc90269.wav,ec3a8685a566c81797e0585ee882d87b6ce47f94d9509ceba28ad710c81e123c,reference_only
58e7d2e6a9,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0162_8bfe80d445ae.wav,f5109797a7b17382460409a23b2943648eb2f1e72420673b2ab222669e0e1ccb,reference_only
5ae3e43aef,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0313_1f330e151b70.wav,a2d4c606860a67b7e19e02819f7da9ac0eed2c4d9bf14560eb9e144cd08c26c1,reference_only
5cd6a5a933,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0129_d232b51597ad.wav,80964c659984119225490096bebfc7557b2bc4e5b1a29b38b92db923292ed64d,reference_only
6053073dd2,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0557_4917ed5ea1b2.wav,19a48c8bf8da15bfe745ed244cab18f4bf5c3188d9a1589307dd8a13066a0e83,heldout
607c7c8b46,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0686_e1ab9d96e86d.wav,5dda6195c073c32c17d22554df5705008a448486a3616f21c03e0e242c06595d,reference_only
61e727e07d,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0462_c4e504aa2898.wav,65bce3cf6fe4645bddc634d8d25da3ff6efc1baa8b29f6e0b0a7525774aa44f4,reference_only
620ef52d56,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0253_0c49c4ef352f.wav,70f91d4710a3183b6cea26acd125a6608bdf3be4bd60386148c867cc65fd85f3,reference_only
66e3cf05da,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0523_32ae483f177e.wav,83b4cb896086fa53787f524ca027c735ecb4d485df2ff63c55b44ac678e44c2a,reference_only
68ba4f10d4,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0292_7f0236a459a4.wav,0be1568604438fe5a1c22fb8d55f80915bfcdc806dfa719d9f56d70b458262f1,reference_only
6bae4a7691,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0211_50059199e23a.wav,0a9bae949406f1817ee5d08463491fe337e21acb08c302ef69a7915e17e0cdbb,reference_only
6f8d7d94a2,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0304_6033f5316189.wav,94495528628cec5f0b54fc4cb9370cca2f554b8b15936d022e637bbd79a583e6,reference_only
717304485f,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0183_d920698ee434.wav,f85200d5603cc3ad9a2af4453054b6b2017658b45587db30a77623919e3fcc6b,heldout
7479bc365c,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0169_53af4593e3de.wav,f7531bb3f57f47fd0c9d00e52a803be1c5fd15254ae341f45d1b5eed9b6992ec,reference_only
763836eaa0,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0083_83e193e56a5d.wav,8d4f4c2531b56249aac9813d22feb1143f362d0142491393fdb2a27609ee1d45,reference_only
7b904ecdf4,no,no,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0434_45584248d7cc.wav,7d5e8e65c71387718fb161303bdfbd69296b1c530df1adb1dae59f8ec85f9dd5,reference_only
7e83886fe3,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0461_6d766c6417a7.wav,d719c9bd2b7d0665688893a45695d80ef00a9f5b59089f46ffd641672fcc5ab3,reference_only
80b68ef0c2,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0381_83810fadeaa6.wav,fde83eb49e9a0db1b6d3d40024b66591a345ad62a9505476d84977145e5c7bee,reference_only
8187dd9cd3,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0399_c408c8caeb94.wav,cc560e31ec7ac2454a54e117b1fc73d19de9262594a59fd9c530a11fe9c04814,reference_only
86d96700b5,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0042_81377c8748f8.wav,e0e0ab925c0f2f6cf8ab8022713bc905057173af0fb25d624ff36295ca5cce38,heldout
8cac881e2f,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0377_f5a5087746aa.wav,6a03282ad536d33b74aba6fd974c5a1ed55678c9ec2e8b56c418c2f486292da9,heldout
8d66491daf,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0612_8155ef783a1e.wav,e066772d3c5ad18ddf61295ea611bc99192717b4c08dadc261dd4ab00f39647d,reference_only
90043c568d,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0152_293b2034cccc.wav,9985cff746ff1ed5ade638aaef5d7c6bdc5916626bcac2c72da51b89bc57ad02,reference_only
90871c664c,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0610_1bc7779898df.wav,962f5718faad388269835e790ca39934828db031675bff1de2e413b721fad680,heldout
92c9ca96e1,yes,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater,adjudication,CXY,LEGACY_NON_PRIMARY,original,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0228_821d00820017.wav,15161bf19ca3ca49a751fa49fa9550eacf7908345f0c98de84bebdc54b8e33ce,reference_only
